,sum,sum,sum,sum,sum
,AD_CLICKS,IMPRESSIONS,ITEMS_PROMOTED,UNIQUE_AD_CLICKS,UNIQUE_AD_IMPRESSIONS
DATE,,,,,
2017-12-01,54543,993949,2193,52368,978944
2018-01-01,763267,14035124,10680,725080,13700992
2018-02-01,3192062,125933660,15598,3048376,123620338
2018-03-01,3768231,142005813,21253,3625765,137632810
2018-04-01,20666669,1163909315,42939,20026324,1084344288
2018-05-01,16498351,902719924,46145,16138589,893639224
2018-06-01,20020832,1095068390,63556,19456271,1084591831
2018-07-01,24207368,1347986977,54566,20157651,1151973128
2018-08-01,25227784,1467721436,53991,23696594,1413389281
2018-09-01,30337985,1786519907,60059,27388975,1655815828
2018-10-01,30273108,1675864310,101092,27930792,1591722576
2018-11-01,32986421,1616970225,163573,30436704,1538992801
2018-12-01,35667055,1497407214,190202,33010855,1430823733
2019-01-01,47729228,1842736538,200628,44023361,1755980327
2019-02-01,45150562,1729777246,202670,41455580,1643885777
2019-03-01,60970644,2335963284,253717,56440848,2233757251
2019-04-01,19831591,821638375,137804,18509730,789919676
