,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
,ACTIVE_SUBSCRIBERS,ACTIVE_SUBSCRIBERS,DIRECT_TRIAL_CONVERSIONS,DIRECT_TRIAL_CONVERSIONS,FREE_TRIALS,FREE_TRIALS,REACTIVATIONS,REACTIVATIONS,RETAINED,RETAINED
PLATFORM,AD,iOS,AD,iOS,AD,iOS,AD,iOS,AD,iOS
DATE,,,,,,,,,,
2018-08-01,0,7,0,4,0,13,0,2,0,1
2018-09-01,240,495,237,471,1256,1988,0,23,3,1
2018-10-01,2080,5639,1950,4862,8632,16942,0,383,130,394
2018-11-01,5068,14827,4041,10358,16764,30816,0,1378,1027,3091
2018-12-01,7647,19060,4879,9761,19565,31738,101,1925,2667,7374
2019-01-01,8491,21866,4281,9301,19113,33748,237,1541,3973,11024
2019-02-01,9013,23203,4069,8716,17011,30383,237,704,4707,13783
2019-03-01,10734,28378,4805,10824,20139,36881,364,1062,5565,16492
2019-04-01,3565,10463,1501,3867,6584,13914,106,387,1958,6209
