,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
,EDITITEM3_VIEWED,EDITITEM3_VIEWED,EDITITEM3_VIEWED,EDITITEMCONFIRMATION_VIEWED,EDITITEMCONFIRMATION_VIEWED,EDITITEMCONFIRMATION_VIEWED,ITEMDASHBOARD_VIEWED,ITEMDASHBOARD_VIEWED,ITEMDASHBOARD_VIEWED,ITEMPERFORMANCE_VIEWED,ITEMPERFORMANCE_VIEWED,ITEMPERFORMANCE_VIEWED,MYOFFERSSELLING_VIEWED,MYOFFERSSELLING_VIEWED,MYOFFERSSELLING_VIEWED,POSTITEMCONFIRMATION_VIEWED,POSTITEMCONFIRMATION_VIEWED,POSTITEMCONFIRMATION_VIEWED
SYSTEM_NAME,AD,Other,iOS,AD,Other,iOS,AD,Other,iOS,AD,Other,iOS,AD,Other,iOS,AD,Other,iOS
DATE,,,,,,,,,,,,,,,,,,
2018-06-01,23,0,0,0,0,0,143748,1,239036,0,0,0,504832,2,633119,74085,0,49
2018-07-01,5,0,0,0,0,0,175993,1,310741,0,0,0,613702,3,904685,94268,0,64
2018-08-01,8147,0,1290,2,0,2167,172594,0,292507,10397,0,13088,527575,24,802913,74568,2,2216
2018-09-01,22727,0,36958,15927,0,63811,152869,0,271648,62410,0,104367,489531,12,744779,59538,0,63864
2018-10-01,32679,0,62814,34221,1,50570,140529,7,243752,28024,0,109557,417569,25,689389,135604,3,111668
2018-11-01,28243,0,57322,29204,4,46459,126903,6,235824,22932,2,101819,364602,18,597628,173405,11,251309
2018-12-01,28920,1,54996,30350,2,43615,120772,1,241018,49883,0,101596,367716,6,588810,168838,8,288230
2019-01-01,21601,2,57660,31218,0,54163,122002,2,255743,57211,0,111188,361075,5,611485,165950,17,306544
2019-02-01,4770,0,51887,31827,0,58263,106580,0,227143,50606,0,99631,314399,0,535117,146511,4,272058
2019-03-01,2147,0,62911,38647,0,80237,116926,1,264954,58708,3,118550,366465,4,610217,176288,11,337475
2019-04-01,563,0,26043,13806,0,33036,42145,0,102896,21248,0,45214,134734,2,233043,64652,4,140722
