,sum,sum,sum,sum,sum,sum
,ADVERTISERS_RETURNING_FROM_PRIOR_MONTH,ADVERTISERS_RETURNING_FROM_PRIOR_MONTH,ADVERTISERS_RETURNING_FROM_PRIOR_MONTH,RETAINED_IAPER,RETAINED_IAPER,RETAINED_IAPER
PLATFORM,Android,Other,iOS,Android,Other,iOS
ACTUAL_MONTH,,,,,,
2016-07-01,216.0,,68.0,68.0,,26.0
2016-08-01,2311.0,,2936.0,516.0,,759.0
2016-09-01,3493.0,,6638.0,838.0,,1614.0
2016-10-01,10884.0,,19453.0,2445.0,,4829.0
2016-11-01,10615.0,46.0,20340.0,2569.0,46.0,5212.0
2016-12-01,10792.0,97.0,21762.0,2759.0,97.0,5617.0
2017-01-01,10683.0,97.0,22145.0,2596.0,97.0,5633.0
2017-02-01,10196.0,107.0,23261.0,2614.0,107.0,5925.0
2017-03-01,9965.0,127.0,22496.0,2759.0,127.0,6462.0
2017-04-01,12102.0,137.0,27204.0,3435.0,137.0,7622.0
2017-05-01,13143.0,157.0,29168.0,3789.0,157.0,8259.0
2017-06-01,13537.0,157.0,30291.0,3767.0,157.0,8432.0
2017-07-01,15191.0,209.0,33773.0,4841.0,209.0,10577.0
2017-08-01,22376.0,241.0,48082.0,6350.0,241.0,13569.0
2017-09-01,22442.0,257.0,46907.0,6546.0,257.0,13306.0
2017-10-01,22017.0,251.0,45426.0,6451.0,251.0,12776.0
2017-11-01,21126.0,252.0,44189.0,6607.0,252.0,13036.0
2017-12-01,22838.0,273.0,47326.0,7138.0,273.0,14253.0
2018-01-01,22792.0,246.0,48200.0,6478.0,246.0,13492.0
2018-02-01,21471.0,247.0,54335.0,6230.0,247.0,14047.0
2018-03-01,20628.0,200.0,49613.0,6531.0,200.0,14507.0
2018-04-01,23817.0,114.0,57072.0,7275.0,114.0,16500.0
2018-05-01,23572.0,47.0,54812.0,7218.0,47.0,16116.0
2018-06-01,23330.0,0.0,55045.0,7407.0,0.0,16331.0
2018-07-01,26677.0,0.0,59623.0,8029.0,0.0,16854.0
2018-08-01,27390.0,1.0,62600.0,8042.0,1.0,17481.0
2018-09-01,26637.0,0.0,63201.0,7606.0,0.0,16180.0
2018-10-01,24720.0,1.0,55020.0,6822.0,1.0,14148.0
2018-11-01,20117.0,78.0,45526.0,5516.0,78.0,11695.0
2018-12-01,16481.0,115.0,37406.0,4977.0,115.0,10640.0
2019-01-01,15577.0,115.0,37377.0,4527.0,115.0,10278.0
2019-02-01,14297.0,127.0,36014.0,4009.0,127.0,9543.0
2019-03-01,12800.0,142.0,31886.0,3975.0,142.0,8730.0
2019-04-01,13271.0,108.0,31769.0,2450.0,108.0,5121.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0
