,sum,sum,sum,sum
,ITEMPROMOSELECTION_SCREENVIEWS,ITEMPROMOSELECTION_SCREENVIEWS,ITEMPROMOSELECTION_USERS,ITEMPROMOSELECTION_USERS
PLATFORM,AD,iOS,AD,iOS
DATE,,,,
2018-03-01,94,83653,77,57593
2018-04-01,1082,772440,707,459887
2018-05-01,1156,887795,731,511326
2018-07-01,1539,1315025,881,653670
2018-08-01,732068,1207193,373414,674013
2018-09-01,881197,1231634,414033,635622
2018-10-01,884827,1221960,416404,607812
2018-11-01,877831,1245715,396925,596868
2018-12-01,946043,1281388,399570,616704
2019-01-01,938230,1354932,401643,648330
2019-02-01,830133,1200559,353869,575067
2019-03-01,961639,1276409,406201,606798
2019-04-01,338287,194569,160300,107235
